Fri Jun 21 08:44:10 2019 >>> Start
Fri Jun 21 08:44:10 2019 >>> User_Tasks Created
Fri Jun 21 08:44:42 2019 >>> Adding Task
Fri Jun 21 08:44:42 2019 >>> task added
Fri Jun 21 08:44:53 2019 >>> Adding Task
Fri Jun 21 08:44:53 2019 >>> task added
Fri Jun 21 08:45:00 2019 >>> Adding Task
Fri Jun 21 08:45:00 2019 >>> task added
Fri Jun 21 08:45:15 2019 >>> Adding Task
Fri Jun 21 08:45:15 2019 >>> task added
Fri Jun 21 08:45:46 2019 >>> Adding Task
Fri Jun 21 08:45:46 2019 >>> task added
Fri Jun 21 08:45:59 2019 >>> Adding Task
Fri Jun 21 08:45:59 2019 >>> task added
